Load (N)	Extension (mm)
	
	
21.353	1.8915
21.358	1.8915
21.364	1.8915
21.370	1.8915
21.375	1.8915
21.381	1.8915
21.387	1.8915
21.392	1.8915
21.398	1.8915
21.404	1.8915
20.769	1.8825
18.428	1.8190
17.038	1.7542
15.874	1.6817
15.253	1.6089
14.632	1.5325
14.011	1.4552
13.486	1.3779
13.322	1.3006
12.773	1.2229
12.223	1.1449
11.674	1.0669
11.172	0.98883
10.684	0.91081
10.195	0.83278
9.7066	0.75475
9.2181	0.67676
8.7296	0.59882
8.2410	0.52087
7.7679	0.44293
7.3489	0.36498
6.9299	0.28797
6.5109	0.21158
6.0919	0.13381
5.6729	0.056010
5.2539	-0.021788
5.0101	-0.083897
6.5578	-0.089767
10.595	-0.080778
10.719	-0.089833
4.9548	-0.12827
4.3460	-0.17555
3.8030	-0.23021
3.4453	-0.29862
3.0876	-0.37048
2.7299	-0.44770
2.3722	-0.52491
2.0145	-0.60213
1.6568	-0.67934
1.2815	-0.75655
0.85141	-0.83377
0.42129	-0.91098
-0.0088370	-0.98820
-0.43896	-1.0654
-0.86909	-1.1426
-1.2992	-1.2198
-1.7293	-1.2971
-2.1595	-1.3743
-2.5896	-1.4515
-3.0197	-1.5287
-3.4498	-1.6059
-3.8800	-1.6830
-4.3101	-1.7600
-4.7402	-1.8371
-5.1703	-1.9141
-5.6005	-1.9912
-6.0306	-2.0682
-6.4607	-2.1453
-6.8908	-2.2223
-7.3210	-2.2994
-7.7511	-2.3764
-8.1812	-2.4535
-8.6113	-2.5305
-9.0415	-2.6076
-9.4716	-2.6846
-9.9017	-2.7617
-10.332	-2.8387
-10.762	-2.9158
-11.192	-2.9929
-11.622	-3.0699
-12.052	-3.1471
-12.482	-3.2242
-12.913	-3.3013
-13.343	-3.3785
-13.773	-3.4556
-14.203	-3.5328
-14.633	-3.6099
-15.063	-3.6871
-15.493	-3.7642
-15.923	-3.8414
-16.354	-3.9185
-16.784	-3.9957
-17.214	-4.0728
-17.644	-4.1500
-18.074	-4.2271
-18.504	-4.3042
-18.934	-4.3814
-19.364	-4.4585
-19.795	-4.5357
-20.225	-4.6129
-20.655	-4.6901
-21.085	-4.7672
-21.515	-4.8444
-21.945	-4.9216
-22.375	-4.9988
-22.805	-5.0759
-23.236	-5.1531
-23.666	-5.2303
-24.096	-5.3075
-24.526	-5.3846
-24.956	-5.4618
-25.386	-5.5390
-25.816	-5.6162
-26.246	-5.6933
-26.677	-5.7705
-27.107	-5.8477
-27.537	-5.9249
-27.967	-6.0022
-28.397	-6.0794
-28.827	-6.1567
-29.257	-6.2340
-29.687	-6.3112
-30.118	-6.3885
-30.548	-6.4658
-30.978	-6.5430
-31.408	-6.6200
-31.838	-6.6971
-32.268	-6.7741
-32.698	-6.8511
-33.128	-6.9281
-33.559	-7.0052
-33.989	-7.0822
-34.419	-7.1592
-34.849	-7.2363
-35.279	-7.3133
-35.709	-7.3903
-36.139	-7.4674
-36.569	-7.5444
-36.999	-7.6214
-37.429	-7.6984
-37.859	-7.7755
-38.289	-7.8525
-38.719	-7.9295
-39.149	-8.0066
-39.579	-8.0836
-40.009	-8.1606
-40.439	-8.2377
-40.868	-8.3147
