Load (N)	Extension (mm)
	
	
	
39.888	
39.887	
39.886	3.5098
39.885	3.5098
39.883	3.5098
39.882	3.5098
39.881	3.5098
39.880	3.5098
39.878	3.5098
39.877	3.5098
39.876	3.5098
39.875	3.5098
39.873	3.5098
39.872	3.5098
39.871	3.5098
39.870	3.5098
39.869	3.5098
39.867	3.5098
39.866	3.5098
39.865	3.5098
39.864	3.5098
39.862	3.5098
39.861	3.5098
39.860	3.5098
39.859	3.5098
39.857	3.5098
39.856	3.5098
39.855	3.5097
39.854	3.5079
39.852	3.4996
39.582	3.4854
34.922	3.4591
32.873	3.4346
32.755	3.4115
30.881	3.3883
30.067	3.3639
29.994	3.3383
28.923	3.3128
28.463	3.2862
28.394	3.2589
27.457	3.2315
27.060	3.2041
27.002	3.1767
26.266	3.1494
25.957	3.1216
25.907	3.0935
25.305	3.0653
25.055	3.0372
24.996	3.0091
24.327	2.9810
23.974	2.9529
23.839	2.9248
23.705	2.8967
23.570	2.8686
23.389	2.8405
22.789	2.8124
22.479	2.7843
22.361	2.7562
22.243	2.7280
22.126	2.6999
21.993	2.6718
21.742	2.6437
21.491	2.6157
21.240	2.5877
20.989	2.5597
20.737	2.5317
20.484	2.5037
20.232	2.4757
19.979	2.4477
19.726	2.4197
19.473	2.3917
19.300	2.3636
19.174	2.3356
19.047	2.3076
18.920	2.2796
18.794	2.2516
18.667	2.2236
18.541	2.1956
18.398	2.1676
18.153	2.1396
17.908	2.1116
17.664	2.0836
17.419	2.0556
17.221	2.0276
17.048	1.9996
16.875	1.9716
16.702	1.9436
16.529	1.9156
16.356	1.8876
16.183	1.8596
16.010	1.8317
15.837	1.8043
15.664	1.7769
15.491	1.7495
15.318	1.7221
15.145	1.6943
14.972	1.6662
14.799	1.6381
14.626	1.6100
14.454	1.5819
14.281	1.5538
14.108	1.5257
13.935	1.4977
13.762	1.4698
13.589	1.4419
13.416	1.4141
13.243	1.3862
13.070	1.3583
12.897	1.3304
12.724	1.3026
12.551	1.2747
12.378	1.2468
12.205	1.2190
12.032	1.1911
11.859	1.1632
11.686	1.1354
11.513	1.1075
11.340	1.0796
11.168	1.0517
10.995	1.0239
10.822	0.99600
10.649	0.96813
10.476	0.94026
10.303	0.91239
10.130	0.88452
9.9569	0.85665
9.7840	0.82878
9.6110	0.80091
9.4381	0.77304
9.2651	0.74517
9.0922	0.71730
8.9331	0.68943
8.7790	0.66156
8.6249	0.63369
8.4708	0.60582
8.3167	0.57795
8.1626	0.55008
8.0086	0.52222
7.8545	0.49437
7.7004	0.46651
7.5463	0.43866
7.3922	0.41080
7.2382	0.38294
7.0841	0.35509
6.9300	0.32723
6.7759	0.29937
6.6218	0.27152
6.4677	0.24366
6.3137	0.21580
6.1596	0.18795
6.0055	0.16009
5.8514	0.13224
5.6973	0.10438
5.5432	0.076522
5.3892	0.048666
5.2351	0.020810
5.0810	-0.0070467
4.9269	-0.034903
4.7728	-0.060042
4.7313	-0.080458
4.9746	-0.090852
5.2179	-0.094200
5.8777	-0.094769
7.5649	-0.093224
8.1235	-0.091678
8.3840	-0.090133
8.6444	-0.088588
8.9048	-0.089613
8.9129	-0.091297
8.3291	-0.092980
