Load (N)	Extension (mm)
	
	
3.6115	-0.064087
3.6156	-0.064087
3.6196	-0.064087
3.6236	-0.064087
3.6277	-0.064087
3.6317	-0.064087
3.6357	-0.064087
3.6398	-0.064087
3.6438	-0.064087
3.6478	-0.064087
3.6519	-0.064087
3.6559	-0.064087
3.6599	-0.064087
5.9125	-0.036468
8.5678	-0.0041677
1.7950	-0.031275
-1.1875	-0.033487
-0.96936	-0.033333
-0.75124	-0.033178
-0.53313	-0.033023
-0.38110	-0.038811
-3.3742	-0.10225
-5.6306	-0.17048
-6.3903	-0.23560
-7.1499	-0.30723
-7.9096	-0.38060
-8.6692	-0.45399
-9.4288	-0.52564
-10.188	-0.59985
-10.948	-0.67407
-11.708	-0.74828
-12.467	-0.82249
-13.227	-0.89676
-13.987	-0.97123
-14.746	-1.0457
-15.388	-1.1202
-15.827	-1.1947
-16.266	-1.2691
-16.705	-1.3436
-17.144	-1.4187
-17.583	-1.4941
-18.022	-1.5682
-18.461	-1.6425
-18.900	-1.7167
-19.339	-1.7910
-19.778	-1.8656
-20.217	-1.9410
-20.656	-2.0134
-21.095	-2.0865
-21.534	-2.1606
-21.973	-2.2346
-22.412	-2.3087
-22.851	-2.3827
-23.290	-2.4568
-23.729	-2.5308
-24.168	-2.6049
-24.607	-2.6789
-25.046	-2.7530
-25.485	-2.8271
-25.924	-2.9017
-26.363	-2.9762
-26.802	-3.0500
-27.240	-3.1238
-27.679	-3.1976
-28.118	-3.2714
-28.557	-3.3453
-28.996	-3.4193
-29.435	-3.4933
-29.874	-3.5674
-30.313	-3.6414
-30.752	-3.7154
-31.191	-3.7895
-31.630	-3.8635
-32.069	-3.9376
-32.508	-4.0116
-32.947	-4.0856
-33.386	-4.1597
-33.825	-4.2337
-34.264	-4.3077
-34.703	-4.3818
-35.142	-4.4556
-35.581	-4.5295
-36.020	-4.6033
-36.459	-4.6771
-36.898	-4.7510
-37.337	-4.8248
-37.776	-4.8986
-38.215	-4.9725
-38.654	-5.0463
-39.093	-5.1201
-39.532	-5.1940
-39.971	-5.2678
-40.410	-5.3417
-40.849	-5.4155
-41.288	-5.4893
-41.727	-5.5632
-42.166	-5.6371
-42.605	-5.7111
-43.044	-5.7851
-43.483	-5.8591
-43.922	-5.9331
-44.361	-6.0071
-44.800	-6.0811
-45.232	-6.1551
-45.663	-6.2291
-46.094	-6.3031
-46.524	-6.3771
-46.955	-6.4511
-47.386	-6.5251
-47.816	-6.5991
-48.247	-6.6731
-48.678	-6.7471
-49.109	-6.8211
-49.539	-6.8951
-49.970	-6.9691
-50.401	-7.0431
-50.831	-7.1171
-51.262	-7.1911
-51.693	-7.2651
-52.123	-7.3391
-52.554	-7.4131
-52.985	-7.4871
-53.415	-7.5611
-53.846	-7.6351
-54.277	-7.7091
-54.707	-7.7831
-55.138	-7.8571
-55.569	-7.9311
-56.000	-8.0051
-56.430	-8.0791
-56.861	-8.1531
-57.292	-8.2271
-57.722	-8.3011
-58.153	-8.3750
-58.584	-8.4488
-59.014	-8.5226
-59.445	-8.5964
-59.876	-8.6702
-60.306	-8.7441
-60.737	-8.8179
-61.168	-8.8917
-61.599	-8.9655
-62.029	-9.0394
