Load (N)	Extension (mm)
	
	
9.7223	0.046387
9.7231	0.046387
9.7240	0.046387
9.7248	0.046387
9.7257	0.046387
9.7265	0.046387
9.7273	0.046387
9.7282	0.046387
9.7290	0.046387
9.7299	0.046387
9.7307	0.038473
6.3353	-0.024244
3.5929	-0.074053
8.5223	-0.042807
7.9535	-0.066999
2.7690	-0.11808
3.7416	-0.11970
7.6608	-0.12216
2.6005	-0.18169
1.4653	-0.24523
0.33004	-0.31314
-0.80518	-0.38625
-1.7851	-0.46004
-2.2214	-0.53537
-2.6576	-0.61145
-3.0939	-0.68753
-3.5301	-0.76362
-3.9664	-0.83970
-4.4026	-0.91578
-4.8389	-0.99190
-5.2751	-1.0691
-5.7114	-1.1453
-6.1476	-1.2200
-6.5839	-1.2954
-7.0201	-1.3710
-7.4564	-1.4467
-7.8926	-1.5232
-8.3289	-1.5997
-8.7651	-1.6735
-9.2014	-1.7496
-9.6377	-1.8271
-10.074	-1.9026
-10.510	-1.9781
-10.946	-2.0535
-11.383	-2.1290
-11.819	-2.2045
-12.255	-2.2800
-12.691	-2.3550
-13.128	-2.4291
-13.564	-2.5043
-14.000	-2.5800
-14.436	-2.6557
-14.873	-2.7314
-15.309	-2.8072
-15.745	-2.8828
-16.181	-2.9583
-16.618	-3.0339
-17.054	-3.1094
-17.490	-3.1850
-17.926	-3.2606
-18.363	-3.3361
-18.799	-3.4117
-19.235	-3.4872
-19.671	-3.5628
-20.108	-3.6383
-20.544	-3.7139
-20.980	-3.7895
-21.416	-3.8650
-21.853	-3.9406
-22.289	-4.0161
-22.725	-4.0915
-23.161	-4.1667
-23.598	-4.2419
-24.034	-4.3171
-24.470	-4.3923
-24.906	-4.4675
-25.343	-4.5427
-25.779	-4.6179
-26.215	-4.6931
-26.651	-4.7682
-27.088	-4.8434
-27.524	-4.9186
-27.960	-4.9938
-28.396	-5.0690
-28.833	-5.1442
-29.269	-5.2194
-29.705	-5.2946
-30.141	-5.3698
-30.578	-5.4450
-31.014	-5.5202
-31.450	-5.5954
-31.886	-5.6706
-32.323	-5.7458
-32.759	-5.8210
-33.195	-5.8962
-33.631	-5.9714
-34.068	-6.0466
-34.504	-6.1218
-34.940	-6.1973
-35.376	-6.2727
-35.813	-6.3481
-36.249	-6.4236
-36.685	-6.4990
-37.121	-6.5744
-37.558	-6.6498
-37.994	-6.7253
-38.430	-6.8007
-38.866	-6.8761
-39.303	-6.9516
-39.739	-7.0270
-40.175	-7.1024
-40.611	-7.1779
-41.048	-7.2533
-41.484	-7.3287
-41.920	-7.4041
-42.356	-7.4796
-42.793	-7.5550
-43.229	-7.6304
-43.665	-7.7059
-44.101	-7.7813
-44.538	-7.8567
-44.974	-7.9322
-45.410	-8.0076
-45.846	-8.0830
-46.283	-8.1584
-46.719	-8.2339
-47.155	-8.3093
-47.591	-8.3847
-48.028	-8.4602
-48.464	-8.5356
-48.900	-8.6110
-49.336	-8.6865
-49.773	-8.7619
-50.209	-8.8373
-50.645	-8.9122
-51.093	-8.9867
-51.557	-9.0612
-52.021	-9.1359
-52.485	-9.2112
-52.950	-9.2864
-53.414	-9.3617
-53.878	-9.4370
-54.342	-9.5123
-54.806	-9.5876
