Load (N)	Extension (mm)
	
	
5.2144	0.058277
5.2176	0.058263
5.2208	0.058250
5.2239	0.058236
5.2271	0.058223
5.2303	0.058210
5.2335	0.058196
5.2366	0.058183
5.2398	0.058169
5.2430	0.058156
5.2462	0.058143
5.2493	0.058129
5.2525	0.051635
3.2704	-0.0093137
2.1180	-0.014438
5.4173	0.0027628
2.8662	-0.0019972
4.7143	0.057376
6.8320	0.081320
5.7695	0.076801
4.7070	0.014167
3.6446	-0.053487
2.5821	-0.12016
1.5196	-0.19160
0.45715	-0.26702
-0.60531	-0.34275
-1.6678	-0.41729
-2.7302	-0.49184
-3.2479	-0.56789
-3.6473	-0.64426
-4.0466	-0.72063
-4.4459	-0.79700
-4.8452	-0.87337
-5.2446	-0.94974
-5.6439	-1.0261
-6.0432	-1.1025
-6.4426	-1.1789
-6.8419	-1.2552
-7.2412	-1.3316
-7.6406	-1.4080
-8.0399	-1.4843
-8.4392	-1.5607
-8.8385	-1.6369
-9.2379	-1.7130
-9.6372	-1.7891
-10.037	-1.8652
-10.436	-1.9412
-10.835	-2.0173
-11.235	-2.0930
-11.634	-2.1684
-12.033	-2.2438
-12.433	-2.3195
-12.832	-2.3952
-13.231	-2.4708
-13.631	-2.5465
-14.030	-2.6222
-14.429	-2.6979
-14.829	-2.7735
-15.228	-2.8492
-15.627	-2.9249
-16.026	-3.0005
-16.426	-3.0762
-16.825	-3.1520
-17.224	-3.2279
-17.624	-3.3037
-18.023	-3.3796
-18.422	-3.4554
-18.822	-3.5313
-19.221	-3.6071
-19.620	-3.6830
-20.020	-3.7588
-20.419	-3.8347
-20.818	-3.9105
-21.218	-3.9864
-21.617	-4.0622
-22.016	-4.1381
-22.416	-4.2139
-22.815	-4.2896
-23.214	-4.3652
-23.614	-4.4409
-24.013	-4.5165
-24.412	-4.5922
-24.812	-4.6678
-25.211	-4.7434
-25.610	-4.8191
-26.010	-4.8947
-26.409	-4.9704
-26.808	-5.0460
-27.208	-5.1216
-27.607	-5.1973
-28.006	-5.2729
-28.406	-5.3486
-28.805	-5.4242
-29.204	-5.4998
-29.604	-5.5755
-30.003	-5.6511
-30.402	-5.7268
-30.802	-5.8024
-31.201	-5.8780
-31.600	-5.9537
-32.000	-6.0293
-32.399	-6.1049
-32.798	-6.1806
-33.198	-6.2562
-33.597	-6.3319
-33.996	-6.4075
-34.396	-6.4831
-34.795	-6.5588
-35.194	-6.6344
-35.594	-6.7101
-35.993	-6.7857
-36.392	-6.8613
-36.792	-6.9370
-37.191	-7.0126
-37.590	-7.0883
-37.990	-7.1639
-38.389	-7.2395
-38.788	-7.3152
-39.188	-7.3908
-39.587	-7.4665
-39.986	-7.5421
-40.386	-7.6178
-40.785	-7.6935
-41.184	-7.7692
-41.584	-7.8449
-41.983	-7.9206
-42.382	-7.9963
-42.782	-8.0720
-43.181	-8.1477
-43.580	-8.2234
-43.980	-8.2991
-44.379	-8.3748
-44.778	-8.4505
-44.640	-8.5262
-44.699	-8.6019
-45.109	-8.6776
-45.519	-8.7533
-45.929	-8.8290
-46.340	-8.9047
-46.750	-8.9804
-47.160	-9.0561
-47.570	-9.1317
-47.980	-9.2074
-48.390	-9.2831
