Load (N)	Extension (mm)
	
	
	
	
2.8066	
2.8071	-0.057373
2.8076	-0.057373
2.8081	-0.057373
2.8086	-0.057373
2.8090	-0.057373
2.8095	-0.057373
2.8100	-0.057373
2.8105	-0.057373
2.8110	-0.057373
2.8115	-0.057373
2.8120	-0.057373
2.8125	-0.057373
2.8129	-0.057373
2.8134	-0.057373
2.8139	-0.057373
2.8144	-0.057373
2.8149	-0.057373
2.8154	-0.057373
2.8159	-0.057373
2.8163	-0.057373
2.8168	-0.057373
2.8173	-0.057373
2.8178	-0.057373
2.8183	-0.057373
2.8188	-0.057373
2.8193	-0.057373
2.8198	-0.057373
2.8202	-0.057373
2.8207	-0.057373
2.8212	-0.057373
2.8217	-0.057373
2.8222	-0.055059
3.0302	-0.048585
3.6486	-0.034227
5.5802	-0.016320
7.6191	0.0023442
7.6342	0.018234
7.6493	0.027660
7.6644	0.031872
5.4044	0.013678
2.5080	-0.0038580
-1.3272	-0.018599
-2.2204	-0.021973
-2.2405	-0.021973
-2.2606	-0.021973
-2.2807	-0.021973
-2.3008	-0.021973
-2.3209	-0.021973
-2.3410	-0.021973
-2.3611	-0.021973
-2.3812	-0.021973
-2.4013	-0.021973
-2.4214	-0.021973
-2.4415	-0.028069
-2.4805	-0.038382
-3.5318	-0.067820
-4.5830	-0.097258
-5.6343	-0.12670
-6.0485	-0.14861
-6.3323	-0.16899
-6.6162	-0.18936
-6.9000	-0.21295
-7.1838	-0.23834
-7.4677	-0.26372
-7.7515	-0.28910
-8.0353	-0.31449
-8.3191	-0.33948
-8.6030	-0.36441
-8.8868	-0.38934
-9.1706	-0.41493
-9.4545	-0.44085
-9.7383	-0.46676
-10.022	-0.49267
-10.306	-0.51858
-10.590	-0.54450
-10.874	-0.57057
-11.157	-0.59704
-11.441	-0.62351
-11.725	-0.64997
-12.009	-0.67644
-12.293	-0.70291
-12.577	-0.72938
-12.860	-0.75592
-13.144	-0.78246
-13.428	-0.80900
-13.712	-0.83555
-13.978	-0.86209
-14.133	-0.88863
-14.288	-0.91518
-14.443	-0.94172
-14.597	-0.96826
-14.752	-0.99473
-14.907	-1.0210
-15.062	-1.0473
-15.216	-1.0737
-15.371	-1.1000
-15.526	-1.1263
-15.681	-1.1526
-15.836	-1.1789
-15.990	-1.2052
-16.145	-1.2315
-16.300	-1.2578
-16.455	-1.2841
-16.609	-1.3104
-16.764	-1.3368
-16.919	-1.3631
-17.074	-1.3894
-17.229	-1.4157
-17.383	-1.4420
-17.538	-1.4683
-17.693	-1.4946
-17.848	-1.5209
-18.003	-1.5472
-18.157	-1.5735
-18.312	-1.5998
-18.467	-1.6260
-18.622	-1.6522
-18.776	-1.6784
-18.931	-1.7046
-19.086	-1.7308
-19.241	-1.7570
-19.396	-1.7832
-19.550	-1.8094
-19.705	-1.8356
-19.860	-1.8618
-20.015	-1.8880
-20.169	-1.9143
-20.324	-1.9405
-20.479	-1.9667
-20.634	-1.9929
-20.789	-2.0191
-20.943	-2.0453
-21.098	-2.0715
-21.253	-2.0977
-21.408	-2.1239
-21.563	-2.1501
-21.717	-2.1763
-21.872	-2.2025
-22.027	-2.2287
-22.182	-2.2548
-22.336	-2.2810
