Load (N)	Extension (mm)
	
	
0.20448	-0.046387
0.20897	-0.046387
0.21346	-0.046387
0.21795	-0.046387
0.22244	-0.046387
0.22692	-0.046387
0.23141	-0.046387
0.23590	-0.046387
0.24039	-0.046387
0.24488	-0.046387
0.24937	-0.046387
0.25386	-0.046387
0.25835	-0.046387
3.4075	-0.023035
5.2123	0.031416
5.2729	0.072476
0.55385	0.060222
0.78713	0.068631
4.6500	0.12122
6.0859	0.17656
5.7071	0.16394
-4.1259	0.098857
-4.9257	0.033900
-5.7255	-0.036376
-6.5254	-0.11036
-7.3252	-0.18435
-8.1251	-0.25834
-8.9249	-0.33307
-9.4434	-0.40929
-9.8832	-0.48552
-10.323	-0.56175
-10.763	-0.63797
-11.202	-0.71420
-11.642	-0.79041
-12.082	-0.86657
-12.522	-0.94274
-12.962	-1.0189
-13.401	-1.0951
-13.841	-1.1713
-14.281	-1.2475
-14.721	-1.3238
-15.160	-1.4000
-15.600	-1.4763
-16.040	-1.5525
-16.480	-1.6287
-16.919	-1.7050
-17.359	-1.7812
-17.799	-1.8575
-18.239	-1.9337
-18.678	-2.0100
-19.118	-2.0862
-19.558	-2.1625
-19.998	-2.2387
-20.438	-2.3144
-20.877	-2.3894
-21.317	-2.4647
-21.757	-2.5403
-22.197	-2.6158
-22.636	-2.6913
-23.076	-2.7668
-23.516	-2.8423
-23.956	-2.9178
-24.395	-2.9933
-24.835	-3.0688
-25.275	-3.1443
-25.715	-3.2198
-26.154	-3.2953
-26.594	-3.3709
-27.034	-3.4469
-27.474	-3.5233
-27.914	-3.5990
-28.353	-3.6746
-28.793	-3.7502
-29.233	-3.8258
-29.673	-3.9014
-30.112	-3.9770
-30.552	-4.0525
-30.992	-4.1281
-31.432	-4.2037
-31.871	-4.2793
-32.311	-4.3549
-32.751	-4.4305
-33.191	-4.5061
-33.631	-4.5817
-34.070	-4.6573
-34.510	-4.7328
-34.950	-4.8084
-35.390	-4.8840
-35.829	-4.9596
-36.269	-5.0352
-36.709	-5.1108
-37.149	-5.1864
-37.588	-5.2620
-38.028	-5.3376
-38.468	-5.4131
-38.908	-5.4887
-39.333	-5.5643
-39.758	-5.6399
-40.183	-5.7155
-40.608	-5.7911
-41.033	-5.8667
-41.458	-5.9423
-41.883	-6.0179
-42.307	-6.0934
-42.732	-6.1690
-43.157	-6.2446
-43.582	-6.3202
-44.007	-6.3958
-44.432	-6.4714
-44.857	-6.5470
-45.282	-6.6226
-45.707	-6.6982
-46.132	-6.7737
-46.557	-6.8493
-46.982	-6.9249
-47.407	-7.0005
-47.831	-7.0761
-48.256	-7.1517
-48.681	-7.2273
-49.106	-7.3029
-49.531	-7.3785
-49.956	-7.4540
-50.381	-7.5296
-50.806	-7.6052
-51.231	-7.6808
-51.656	-7.7564
-52.081	-7.8320
-52.506	-7.9075
-52.931	-7.9830
-53.355	-8.0585
-53.780	-8.1340
-54.205	-8.2095
-54.630	-8.2850
-55.055	-8.3605
-55.480	-8.4361
-55.905	-8.5116
-56.330	-8.5871
-56.755	-8.6626
-57.180	-8.7381
-57.605	-8.8136
-58.030	-8.8891
-58.454	-8.9646
-58.881	-9.0401
-59.316	-9.1156
