Load (N)	Extension (mm)
-139.25	-20.357
-139.94	-20.431
-140.62	-20.505
-141.31	-20.579
-142.00	-20.653
-142.68	-20.727
-143.37	-20.801
-144.05	-20.875
-144.74	-20.949
-145.43	-21.023
-146.57	-21.097
-147.78	-21.171
-148.99	-21.245
-150.20	-21.319
-151.41	-21.393
-152.61	-21.467
-153.82	-21.541
-155.03	-21.614
-156.24	-21.688
-157.45	-21.762
-159.34	-21.836
-164.36	-21.910
-169.37	-21.984
-174.39	-22.058
-181.57	-22.132
-189.28	-22.206
-196.99	-22.280
-203.32	-22.354
-207.80	-22.428
-212.29	-22.502
-216.78	-22.576
-221.27	-22.650
-225.75	-22.724
-231.29	-22.797
-240.14	-22.871
-249.00	-22.945
-257.85	-23.019
-269.01	-23.092
-285.51	-23.166
-302.02	-23.239
-318.52	-23.312
-335.03	-23.385
-361.31	-23.459
-390.05	-23.532
-418.78	-23.605
-447.51	-23.678
-476.25	-23.750
-504.98	-23.815
-531.94	-23.833
-524.19	-23.831
-516.43	-23.827
-508.67	-23.819
-496.57	-23.794
-449.41	-23.727
-402.25	-23.660
-355.09	-23.593
-307.93	-23.521
-262.05	-23.447
-242.46	-23.374
-222.87	-23.300
-203.27	-23.227
-183.68	-23.153
-164.08	-23.080
-144.49	-23.006
-129.96	-22.932
-127.54	-22.859
-125.12	-22.785
-122.69	-22.712
-120.27	-22.638
-117.85	-22.564
-115.43	-22.491
-113.01	-22.417
-110.58	-22.344
-108.16	-22.270
-105.74	-22.197
-103.32	-22.123
-100.89	-22.049
-100.39	-21.976
-100.06	-21.902
-99.737	-21.829
-99.408	-21.755
-99.080	-21.681
-98.752	-21.607
-98.424	-21.533
-98.095	-21.459
-97.767	-21.385
-97.439	-21.311
-97.111	-21.237
-96.782	-21.163
-96.454	-21.089
-96.126	-21.015
-95.798	-20.941
-95.469	-20.867
-95.141	-20.793
-94.813	-20.719
-94.485	-20.645
-94.156	-20.571
-93.828	-20.496
-93.500	-20.422
-93.171	-20.348
-92.843	-20.274
-92.515	-20.200
-92.187	-20.126
-91.858	-20.052
-91.530	-19.978
-91.202	-19.904
-90.874	-19.830
-90.545	-19.756
-90.217	-19.682
-89.889	-19.608
-89.561	-19.534
-89.232	-19.460
-88.904	-19.386
-88.576	-19.312
-88.248	-19.238
-87.919	-19.164
-87.591	-19.090
-87.263	-19.016
-86.935	-18.942
-86.606	-18.868
-86.278	-18.794
-85.950	-18.720
-85.622	-18.646
-85.293	-18.572
-84.965	-18.498
-84.637	-18.424
-84.309	-18.350
-83.980	-18.276
-83.652	-18.202
-83.324	-18.128
-82.996	-18.054
-82.667	-17.980
-82.339	-17.906
-82.011	-17.832
-81.683	-17.758
-81.354	-17.684
-81.026	-17.610
-80.698	-17.536
-80.370	-17.462
-80.041	-17.388
-79.713	-17.313
-79.385	-17.239
-79.057	-17.165
-78.728	-17.091
-78.400	-17.017
-78.072	-16.943
-77.744	-16.869
-77.415	-16.795
-77.087	-16.721
-76.759	-16.647
-76.431	-16.573
-76.102	-16.499
-75.774	-16.425
-75.446	-16.351
-75.118	-16.277
-74.789	-16.203
-74.279	-16.129
-70.007	-16.055
-69.685	-15.981
-69.363	-15.907
-69.041	-15.833
-68.719	-15.758
-68.397	-15.684
-68.076	-15.610
-67.754	-15.536
-67.432	-15.462
-67.110	-15.387
-66.788	-15.313
