Load (N)	Extension (mm)
	
	
17.944	2.0081
17.949	2.0081
17.954	2.0081
17.958	2.0081
17.963	2.0081
17.968	2.0081
17.973	2.0081
17.977	2.0081
17.982	2.0081
17.987	2.0081
17.992	2.0081
17.997	2.0060
16.834	1.9643
15.661	1.8978
14.956	1.8263
14.251	1.7530
13.705	1.6780
13.295	1.6018
12.884	1.5255
12.473	1.4487
12.062	1.3708
11.652	1.2929
11.241	1.2159
10.830	1.1389
10.420	1.0619
10.009	0.98491
9.5984	0.90793
9.1878	0.83094
8.7771	0.75395
8.3664	0.67696
7.9557	0.59997
7.5451	0.52299
7.1344	0.44600
6.7237	0.36912
6.3130	0.29341
5.9024	0.21771
5.4917	0.14078
5.0810	0.063708
4.6703	-0.013360
4.5804	-0.074627
6.2138	-0.018288
5.2419	-0.044809
6.4364	-0.033439
6.1346	-0.032249
5.4775	-0.038273
4.8203	-0.099583
4.1632	-0.17186
3.5061	-0.24293
2.8490	-0.31839
2.4142	-0.39386
2.0326	-0.47004
1.6510	-0.54650
1.2694	-0.62296
0.88785	-0.69942
0.50627	-0.77588
0.12469	-0.85234
-0.25689	-0.92880
-0.63847	-1.0053
-1.0200	-1.0817
-1.4016	-1.1582
-1.7832	-1.2346
-2.1648	-1.3111
-2.5464	-1.3876
-2.9279	-1.4640
-3.3095	-1.5405
-3.6911	-1.6169
-4.0727	-1.6934
-4.4543	-1.7699
-4.8358	-1.8463
-5.2174	-1.9228
-5.5990	-1.9993
-5.9806	-2.0757
-6.3622	-2.1522
-6.7437	-2.2286
-7.1253	-2.3051
-7.5069	-2.3815
-7.8885	-2.4578
-8.2701	-2.5341
-8.6516	-2.6103
-9.0332	-2.6866
-9.4148	-2.7629
-9.7964	-2.8391
-10.178	-2.9154
-10.560	-2.9917
-10.941	-3.0679
-11.323	-3.1442
-11.704	-3.2205
-12.086	-3.2968
-12.467	-3.3730
-12.849	-3.4493
-13.231	-3.5256
-13.612	-3.6018
-13.994	-3.6781
-14.375	-3.7544
-14.757	-3.8306
-15.138	-3.9069
-15.520	-3.9832
-15.902	-4.0594
-16.283	-4.1357
-16.665	-4.2120
-17.046	-4.2882
-17.428	-4.3640
-17.810	-4.4398
-18.191	-4.5155
-18.573	-4.5914
-18.954	-4.6677
-19.336	-4.7441
-19.717	-4.8205
-20.099	-4.8968
-20.481	-4.9732
-20.862	-5.0496
-21.244	-5.1260
-21.625	-5.2023
-22.007	-5.2787
-22.388	-5.3551
-22.770	-5.4314
-23.152	-5.5078
-23.533	-5.5842
-23.915	-5.6605
-24.296	-5.7369
-24.678	-5.8133
-25.060	-5.8896
-25.441	-5.9660
-25.823	-6.0424
-26.204	-6.1188
-26.586	-6.1951
-26.967	-6.2715
-27.349	-6.3479
-27.731	-6.4242
-28.112	-6.5006
-28.494	-6.5770
-28.875	-6.6533
-29.257	-6.7297
-29.639	-6.8061
-30.020	-6.8824
-30.402	-6.9588
-30.783	-7.0352
-31.165	-7.1116
-31.546	-7.1879
-31.928	-7.2643
-32.310	-7.3407
-32.691	-7.4170
-33.073	-7.4934
-33.454	-7.5698
-33.836	-7.6461
-34.217	-7.7225
-34.599	-7.7989
-34.981	-7.8752
