Load (N)	Extension (mm)
	
	
5.6216	0.061035
5.6317	0.061035
5.6419	0.061035
5.6520	0.061035
5.6622	0.061035
5.6723	0.061035
5.6824	0.061035
5.6926	0.061035
5.7027	0.061035
5.7129	0.061035
5.7230	0.058475
2.4725	0.013015
-1.1856	-0.022219
4.1363	0.0010149
2.1717	-0.013602
-1.4145	-0.034264
2.5566	-0.024152
3.1691	-0.024091
1.0740	-0.067067
-2.7360	-0.13364
-3.9788	-0.20209
-5.2216	-0.27406
-6.4644	-0.34962
-7.1000	-0.42548
-7.6051	-0.50134
-8.1102	-0.57721
-8.6152	-0.65307
-9.1203	-0.72894
-9.6254	-0.80500
-10.130	-0.88146
-10.636	-0.95794
-11.141	-1.0345
-11.646	-1.1110
-12.151	-1.1876
-12.656	-1.2641
-13.161	-1.3407
-13.666	-1.4172
-14.171	-1.4937
-14.676	-1.5703
-15.181	-1.6465
-15.686	-1.7227
-16.191	-1.7989
-16.696	-1.8750
-17.201	-1.9512
-17.707	-2.0274
-18.212	-2.1036
-18.717	-2.1790
-19.222	-2.2541
-19.727	-2.3292
-20.232	-2.4049
-20.737	-2.4812
-21.242	-2.5576
-21.747	-2.6339
-22.252	-2.7103
-22.757	-2.7866
-23.262	-2.8626
-23.767	-2.9386
-24.272	-3.0145
-24.777	-3.0905
-25.283	-3.1664
-25.788	-3.2424
-26.237	-3.3183
-26.680	-3.3943
-27.124	-3.4703
-27.568	-3.5462
-28.011	-3.6222
-28.455	-3.6981
-28.898	-3.7741
-29.342	-3.8499
-29.786	-3.9257
-30.229	-4.0015
-30.673	-4.0773
-31.117	-4.1530
-31.560	-4.2288
-32.004	-4.3046
-32.447	-4.3804
-32.891	-4.4562
-33.335	-4.5319
-33.796	-4.6077
-34.293	-4.6835
-34.790	-4.7593
-35.287	-4.8351
-35.784	-4.9108
-36.281	-4.9866
-36.778	-5.0624
-37.275	-5.1382
-37.773	-5.2140
-38.270	-5.2897
-38.767	-5.3655
-39.264	-5.4413
-39.761	-5.5171
-40.258	-5.5929
-40.755	-5.6686
-41.252	-5.7439
-41.749	-5.8188
-42.247	-5.8945
-42.744	-5.9704
-43.241	-6.0463
-43.738	-6.1222
-44.235	-6.1981
-44.732	-6.2739
-45.229	-6.3498
-45.726	-6.4257
-46.223	-6.5016
-46.721	-6.5775
-47.218	-6.6534
-47.715	-6.7293
-48.217	-6.8052
-48.741	-6.8811
-49.264	-6.9570
-49.788	-7.0329
-50.311	-7.1088
-50.834	-7.1847
-51.358	-7.2605
-51.881	-7.3364
-52.405	-7.4123
-52.928	-7.4882
-53.452	-7.5641
-53.975	-7.6400
-54.498	-7.7159
-55.022	-7.7918
-55.545	-7.8677
-56.069	-7.9436
-56.592	-8.0195
-57.116	-8.0954
-57.643	-8.1713
-58.224	-8.2471
-58.805	-8.3230
-59.386	-8.3989
-59.966	-8.4748
-60.547	-8.5507
-61.128	-8.6266
-61.709	-8.7025
-62.274	-8.7784
-62.814	-8.8543
-63.354	-8.9302
-63.894	-9.0060
-64.434	-9.0813
-64.974	-9.1566
-65.514	-9.2320
-66.054	-9.3073
-66.594	-9.3826
-67.135	-9.4579
-67.675	-9.5332
