Load (N)	Extension (mm)
-34.902	-6.0934
-35.053	-6.1196
-35.204	-6.1457
-35.355	-6.1719
-35.506	-6.1981
-35.657	-6.2242
-35.808	-6.2504
-35.959	-6.2765
-36.110	-6.3027
-36.261	-6.3289
-36.412	-6.3550
-36.563	-6.3812
-36.714	-6.4073
-36.865	-6.4335
-37.016	-6.4597
-37.167	-6.4858
-37.318	-6.5120
-37.469	-6.5381
-37.620	-6.5643
-37.771	-6.5905
-37.922	-6.6166
-38.073	-6.6428
-38.224	-6.6690
-38.375	-6.6951
-38.526	-6.7213
-38.677	-6.7474
-38.828	-6.7736
-38.979	-6.7998
-39.130	-6.8259
-39.281	-6.8521
-39.432	-6.8782
-39.583	-6.9044
-39.734	-6.9306
-39.885	-6.9567
-40.036	-6.9829
-40.187	-7.0090
-40.338	-7.0352
-40.489	-7.0614
-40.640	-7.0875
-40.791	-7.1137
-40.942	-7.1398
-41.093	-7.1660
-41.244	-7.1922
-41.395	-7.2183
-41.546	-7.2445
-41.697	-7.2706
-41.848	-7.2968
-41.999	-7.3230
-42.150	-7.3491
-42.301	-7.3753
-42.452	-7.4014
-42.603	-7.4276
-42.754	-7.4544
-42.905	-7.4812
-43.056	-7.5081
-43.203	-7.5350
-43.348	-7.5619
-43.494	-7.5888
-43.639	-7.6153
-43.784	-7.6415
-43.930	-7.6676
-44.075	-7.6937
-44.220	-7.7198
-44.366	-7.7460
-44.511	-7.7721
-44.656	-7.7982
-44.802	-7.8243
-44.947	-7.8504
-45.093	-7.8766
-45.238	-7.9027
-45.383	-7.9288
-45.529	-7.9549
-45.674	-7.9811
-45.819	-8.0072
-45.965	-8.0333
-46.110	-8.0594
-46.255	-8.0856
-46.401	-8.1117
-46.546	-8.1378
-46.691	-8.1639
-46.837	-8.1900
-46.982	-8.2162
-47.127	-8.2423
-47.273	-8.2684
-47.418	-8.2945
-47.563	-8.3207
-47.709	-8.3468
-47.854	-8.3729
-47.999	-8.3990
-48.145	-8.4252
-48.290	-8.4513
-48.435	-8.4774
-48.581	-8.5035
-48.726	-8.5296
-48.872	-8.5558
-49.017	-8.5819
-49.162	-8.6080
-49.308	-8.6341
-49.453	-8.6603
-49.598	-8.6864
-49.744	-8.7125
-49.889	-8.7386
-50.034	-8.7648
-50.180	-8.7909
-50.325	-8.8170
-50.470	-8.8431
-50.616	-8.8692
-50.761	-8.8954
-50.906	-8.9215
-51.052	-8.9476
-51.197	-8.9737
-51.342	-8.9999
-51.488	-9.0260
-51.633	-9.0521
-51.778	-9.0782
-51.924	-9.1043
-52.069	-9.1305
-52.214	-9.1566
-52.360	-9.1827
-52.505	-9.2088
-52.650	-9.2350
-52.796	-9.2611
-52.941	-9.2872
-53.087	-9.3133
-53.232	-9.3395
-53.377	-9.3656
-53.523	-9.3917
-53.668	-9.4178
-53.813	-9.4439
-53.959	-9.4701
-54.104	-9.4962
-54.254	-9.5223
-54.418	-9.5484
-54.583	-9.5746
-54.748	-9.6007
-54.912	-9.6268
-55.077	-9.6529
-55.241	-9.6791
-55.406	-9.7052
-55.570	-9.7313
-55.735	-9.7574
-55.899	-9.7835
-56.064	-9.8097
-56.229	-9.8358
-56.393	-9.8619
-56.558	-9.8880
-56.722	-9.9142
-56.887	-9.9403
-57.051	-9.9664
-57.216	-9.9925
-57.381	-10.016
-57.545	-10.026
-56.900	-10.027
-55.583	-10.021
-51.976	-10.014
-48.970	-10.010
-47.207	-10.010
-46.771	-10.009
-46.730	-10.009
-46.688	-10.009
-46.646	-10.008
-46.605	-10.008
-46.563	-10.007
-46.521	-10.007
-46.479	-10.006
-46.438	-9.9958
-45.803	-9.9805
-43.094	-9.9575
-41.831	-9.9345
-41.415	-9.9115
-41.000	-9.8885
-40.584	-9.8655
-40.168	-9.8425
-39.753	-9.8195
-39.337	-9.7956
-38.921	-9.7694
-38.506	-9.7433
-38.090	-9.7171
-37.674	-9.6909
-37.259	-9.6647
-36.843	-9.6386
-36.427	-9.6124
-36.111	-9.5862
-36.018	-9.5600
-35.926	-9.5339
-35.834	-9.5077
-35.742	-9.4815
-35.650	-9.4553
-35.558	-9.4291
-35.466	-9.4030
-35.373	-9.3768
-35.281	-9.3506
-35.189	-9.3244
-35.097	-9.2983
-35.005	-9.2721
-34.913	-9.2459
-34.820	-9.2197
-34.728	-9.1936
-34.636	-9.1674
-34.544	-9.1412
-34.452	-9.1150
-34.360	-9.0889
-34.268	-9.0627
-34.175	-9.0365
-34.083	-9.0103
-33.991	-8.9841
-33.899	-8.9580
-33.807	-8.9318
-33.715	-8.9056
-33.622	-8.8794
-33.530	-8.8533
-33.438	-8.8271
-33.346	-8.8009
-33.254	-8.7747
-33.162	-8.7486
-33.070	-8.7224
-32.977	-8.6962
-32.885	-8.6700
-32.793	-8.6438
-32.701	-8.6177
-32.609	-8.5915
-32.517	-8.5653
-32.424	-8.5391
-32.332	-8.5130
-32.240	-8.4868
-32.148	-8.4606
-32.056	-8.4344
-31.964	-8.4083
-31.872	-8.3821
-31.779	-8.3559
-31.687	-8.3297
-31.595	-8.3036
-31.503	-8.2774
-31.411	-8.2512
-31.319	-8.2250
-31.226	-8.1988
-31.134	-8.1727
-31.042	-8.1465
-30.950	-8.1203
-30.858	-8.0941
-30.766	-8.0680
-30.674	-8.0418
-30.581	-8.0156
-30.489	-7.9894
-30.397	-7.9633
-30.305	-7.9371
-30.213	-7.9109
-30.121	-7.8847
-30.028	-7.8585
-29.936	-7.8324
-29.844	-7.8062
-29.752	-7.7800
-29.660	-7.7538
-29.568	-7.7277
-29.435	-7.7015
-29.284	-7.6753
-29.133	-7.6491
-28.982	-7.6230
-28.831	-7.5968
-28.680	-7.5706
-28.529	-7.5444
-28.378	-7.5183
-28.227	-7.4921
-28.076	-7.4659
-27.925	-7.4397
-27.774	-7.4135
-27.623	-7.3874
-27.472	-7.3612
-27.321	-7.3350
-27.170	-7.3088
-27.019	-7.2827
-26.868	-7.2565
-26.717	-7.2303
-26.566	-7.2041
-26.415	-7.1780
-26.264	-7.1518
-26.113	-7.1256
-25.962	-7.0994
-25.811	-7.0732
-25.660	-7.0471
-25.509	-7.0209
-25.358	-6.9947
-25.207	-6.9685
-25.056	-6.9424
-24.905	-6.9162
-24.754	-6.8900
-24.603	-6.8638
-24.452	-6.8377
-24.301	-6.8115
-24.150	-6.7853
-23.999	-6.7591
-23.848	-6.7330
-23.697	-6.7068
-23.546	-6.6806
-23.395	-6.6544
-23.244	-6.6282
-23.093	-6.6021
-22.942	-6.5759
-22.791	-6.5497
-22.640	-6.5235
-22.489	-6.4974
-22.338	-6.4712
-22.187	-6.4450
-22.036	-6.4188
-21.885	-6.3927
-21.734	-6.3665
-21.583	-6.3403
-21.432	-6.3141
-21.281	-6.2880
-21.130	-6.2618
-20.979	-6.2356
-20.828	-6.2094
-20.677	-6.1832
-20.526	-6.1571
-20.375	-6.1309
-20.224	-6.1047
-20.073	-6.0785
-19.922	-6.0524
-19.771	-6.0262
-19.620	-6.0000
-19.469	-5.9738
-19.318	-5.9477
-19.167	-5.9215
-19.016	-5.8953
-18.865	-5.8691
-18.714	-5.8429
-18.563	-5.8168
-18.412	-5.7906
-18.261	-5.7644
-18.110	-5.7382
-17.861	-5.7121
-17.374	-5.6859
-16.887	-5.6597
-16.441	-5.6335
-16.333	-5.6074
-16.225	-5.5812
-16.117	-5.5550
-16.009	-5.5288
-15.901	-5.5027
-15.793	-5.4765
-15.685	-5.4503
-15.577	-5.4241
-15.469	-5.3979
-15.361	-5.3718
-15.253	-5.3456
-15.145	-5.3194
-15.037	-5.2932
-14.929	-5.2671
-14.821	-5.2409
-14.713	-5.2147
-14.605	-5.1885
-14.497	-5.1624
-14.389	-5.1362
-14.281	-5.1100
-14.173	-5.0838
-14.065	-5.0576
-13.956	-5.0315
-13.848	-5.0053
-13.740	-4.9791
-13.632	-4.9529
-13.524	-4.9268
-13.416	-4.9006
-13.308	-4.8744
-13.200	-4.8482
-13.092	-4.8221
-12.984	-4.7959
-12.876	-4.7697
-12.768	-4.7435
-12.660	-4.7174
-12.552	-4.6912
-12.444	-4.6650
-12.336	-4.6388
-12.228	-4.6126
-12.120	-4.5865
-12.012	-4.5603
-11.904	-4.5341
-11.796	-4.5079
-11.688	-4.4818
-11.580	-4.4556
-11.471	-4.4294
-11.363	-4.4032
-11.255	-4.3771
-11.147	-4.3509
-11.039	-4.3247
-10.931	-4.2985
-10.823	-4.2723
-10.715	-4.2462
-10.607	-4.2200
-10.499	-4.1938
-10.391	-4.1676
-10.283	-4.1415
-10.175	-4.1153
-10.067	-4.0891
-9.9589	-4.0629
-9.8508	-4.0368
-9.7428	-4.0106
-9.6347	-3.9844
-9.5267	-3.9582
-9.4187	-3.9321
-9.2760	-3.9059
-9.1275	-3.8797
-8.9790	-3.8535
-8.8305	-3.8273
-8.6820	-3.8012
-8.5335	-3.7750
-8.3850	-3.7488
-8.2365	-3.7226
-8.0880	-3.6965
-7.9395	-3.6703
-7.7910	-3.6441
-7.6424	-3.6179
-7.4939	-3.5918
-7.3454	-3.5656
-7.1969	-3.5394
-7.0484	-3.5132
-6.8999	-3.4870
-6.7514	-3.4609
-6.6029	-3.4347
-6.4544	-3.4085
-6.3059	-3.3823
-6.1574	-3.3562
-6.0089	-3.3300
-5.8603	-3.3038
-5.7118	-3.2776
-5.5633	-3.2515
-5.4148	-3.2253
-5.2663	-3.1991
-5.1178	-3.1729
-4.9693	-3.1468
-4.8208	-3.1206
-4.6723	-3.0944
-4.5238	-3.0682
-4.3753	-3.0420
-4.2268	-3.0159
-4.0782	-2.9897
-3.9297	-2.9635
-3.7812	-2.9373
-3.6327	-2.9112
-3.4842	-2.8850
-3.3357	-2.8588
-3.1872	-2.8326
-3.0387	-2.8065
-2.8902	-2.7803
-2.7417	-2.7541
-2.5932	-2.7279
-2.4559	-2.7017
-2.3235	-2.6756
-2.1911	-2.6494
-2.0586	-2.6232
-1.9262	-2.5970
-1.7938	-2.5709
-1.6614	-2.5447
-1.5290	-2.5185
-1.3965	-2.4923
-1.2641	-2.4662
-1.1317	-2.4400
-0.99929	-2.4138
-0.86687	-2.3876
-0.73445	-2.3615
-0.60203	-2.3353
-0.46961	-2.3091
-0.33719	-2.2829
-0.20477	-2.2567
-0.072355	-2.2306
0.060064	-2.2044
0.19248	-2.1782
0.32490	-2.1520
0.45732	-2.1259
0.58974	-2.0997
0.72216	-2.0735
0.85458	-2.0473
0.98700	-2.0212
1.1194	-1.9950
1.2518	-1.9688
1.3843	-1.9426
1.5167	-1.9164
1.6491	-1.8903
1.7815	-1.8641
1.9139	-1.8379
2.0463	-1.8117
2.1788	-1.7856
2.3112	-1.7594
2.4436	-1.7332
2.5760	-1.7070
2.7084	-1.6809
2.8409	-1.6547
2.9859	-1.6285
3.1581	-1.6023
3.3303	-1.5762
3.5025	-1.5500
3.6747	-1.5238
3.8469	-1.4976
4.0191	-1.4714
4.1913	-1.4453
4.3635	-1.4191
4.5357	-1.3929
4.7078	-1.3667
4.8800	-1.3406
5.0522	-1.3144
5.2244	-1.2882
5.3966	-1.2620
5.5688	-1.2359
5.7410	-1.2097
5.9132	-1.1835
6.0854	-1.1573
6.2576	-1.1311
6.4298	-1.1050
6.6019	-1.0788
6.7741	-1.0526
6.9463	-1.0264
7.1185	-1.0003
7.2907	-0.97409
7.4629	-0.94791
7.6351	-0.92174
7.8073	-0.89556
7.9795	-0.86938
8.1517	-0.84321
8.3238	-0.81703
8.4960	-0.79085
8.6682	-0.76468
8.8404	-0.73850
9.0126	-0.71234
9.1848	-0.68620
9.3570	-0.66007
9.5292	-0.63394
9.7014	-0.60781
9.8736	-0.58168
10.046	-0.55554
10.218	-0.52941
10.390	-0.50328
10.562	-0.47715
10.758	-0.45102
10.961	-0.42488
11.164	-0.39875
11.368	-0.37262
11.571	-0.34649
11.774	-0.32035
11.977	-0.29422
12.181	-0.26809
12.384	-0.24196
12.587	-0.21583
12.790	-0.18969
12.938	-0.16356
13.052	-0.13743
13.166	-0.11130
13.279	-0.085166
13.393	-0.059034
13.506	-0.032902
13.620	-0.0067694
13.733	0.019363
13.847	0.045495
13.961	0.071627
14.074	0.097759
14.188	0.12389
14.301	0.15002
14.415	0.17616
14.529	0.20229
14.642	0.22842
14.756	0.25455
14.869	0.28068
14.983	0.30682
15.096	0.33295
15.210	0.35908
15.324	0.38521
15.437	0.41134
15.551	0.43748
15.664	0.46361
15.778	0.48974
15.892	0.51587
16.005	0.54200
16.119	0.56814
16.232	0.59418
16.346	0.62021
16.459	0.64625
16.573	0.67228
16.680	0.69832
16.760	0.72435
16.841	0.75039
16.921	0.77643
17.001	0.80246
17.081	0.82850
17.162	0.85453
17.242	0.88057
17.322	0.90660
17.402	0.93264
17.482	0.95867
17.563	0.98471
17.643	1.0107
17.723	1.0369
17.803	1.0631
17.884	1.0894
17.964	1.1156
18.044	1.1418
18.124	1.1681
18.204	1.1943
18.285	1.2206
18.365	1.2468
18.445	1.2731
18.525	1.2993
18.605	1.3255
18.686	1.3518
18.766	1.3780
18.846	1.4043
18.926	1.4305
19.069	1.4567
19.265	1.4829
19.462	1.5091
19.658	1.5353
19.854	1.5615
20.050	1.5877
20.246	1.6138
20.442	1.6400
20.638	1.6662
20.834	1.6924
21.030	1.7186
21.226	1.7448
21.422	1.7709
21.618	1.7971
21.814	1.8233
22.010	1.8495
22.206	1.8757
22.402	1.9019
22.598	1.9280
22.794	1.9542
22.990	1.9804
23.186	2.0066
23.382	2.0328
23.578	2.0590
23.774	2.0851
23.970	2.1113
24.166	2.1375
24.362	2.1637
24.558	2.1899
24.754	2.2161
24.950	2.2422
25.146	2.2684
25.342	2.2946
25.538	2.3208
25.734	2.3470
25.865	2.3732
25.939	2.3993
26.012	2.4255
26.085	2.4517
26.158	2.4779
26.231	2.5041
26.305	2.5303
26.378	2.5564
26.451	2.5826
26.524	2.6088
26.598	2.6350
26.671	2.6612
26.744	2.6874
26.817	2.7136
26.890	2.7397
26.964	2.7659
27.037	2.7921
27.110	2.8183
27.183	2.8445
27.257	2.8707
27.330	2.8968
27.403	2.9230
27.476	2.9492
27.549	2.9754
27.623	3.0016
27.696	3.0278
27.769	3.0539
27.842	3.0801
27.916	3.1063
27.989	3.1325
28.062	3.1587
28.135	3.1849
28.209	3.2110
28.282	3.2372
28.355	3.2634
28.428	3.2896
28.501	3.3158
28.575	3.3420
28.697	3.3681
28.917	3.3943
29.137	3.4205
29.357	3.4467
29.577	3.4729
29.797	3.4991
30.017	3.5252
30.238	3.5514
30.458	3.5776
30.678	3.6038
30.898	3.6300
31.118	3.6562
31.338	3.6823
31.558	3.7085
31.779	3.7347
31.999	3.7609
32.219	3.7871
32.439	3.8133
32.659	3.8395
32.879	3.8656
33.099	3.8918
33.320	3.9180
33.535	3.9442
33.661	3.9704
33.787	3.9966
33.914	4.0227
34.040	4.0489
34.166	4.0751
34.292	4.1013
34.418	4.1275
34.544	4.1537
34.670	4.1798
34.797	4.2060
34.923	4.2322
35.049	4.2584
35.175	4.2846
35.301	4.3108
35.427	4.3370
35.553	4.3631
35.680	4.3893
35.806	4.4155
35.932	4.4417
36.058	4.4679
36.237	4.4941
36.510	4.5203
36.783	4.5465
37.023	4.5727
37.106	4.5989
37.189	4.6250
37.272	4.6512
37.355	4.6774
37.438	4.7036
37.521	4.7298
37.604	4.7560
37.687	4.7822
37.769	4.8084
37.852	4.8346
37.935	4.8608
38.018	4.8869
38.101	4.9131
38.184	4.9393
38.267	4.9655
38.350	4.9917
38.433	5.0179
38.516	5.0441
38.599	5.0703
38.682	5.0965
38.764	5.1226
38.847	5.1488
38.930	5.1750
39.013	5.2012
39.096	5.2274
39.179	5.2536
39.262	5.2798
39.345	5.3060
39.428	5.3322
39.511	5.3584
39.672	5.3844
39.839	5.4105
40.006	5.4366
40.173	5.4627
40.340	5.4888
40.507	5.5149
40.674	5.5409
40.841	5.5670
41.008	5.5931
41.175	5.6192
41.342	5.6453
41.508	5.6714
41.675	5.6974
41.842	5.7235
42.009	5.7496
42.176	5.7757
42.343	5.8018
42.510	5.8278
42.677	5.8539
42.844	5.8800
43.011	5.9061
43.178	5.9322
43.345	5.9583
43.511	5.9843
43.678	6.0104
43.845	6.0365
44.012	6.0626
