Load (N)	Extension (mm)
	
	
	
	
-3.3060	-1.1237
-3.3045	-1.1237
-3.3030	-1.1237
-3.3014	-1.1237
-3.2999	-1.1237
-3.2984	-1.1237
-3.2969	-1.1237
-3.2954	-1.1237
-3.2938	-1.1237
-3.2923	-1.1237
-3.2908	-1.1237
-3.2893	-1.1237
-3.2878	-1.1237
-3.2862	-1.1237
-3.2847	-1.1237
-3.2832	-1.1237
-3.2817	-1.1237
-3.2802	-1.1237
-3.2787	-1.1237
-3.2771	-1.1237
-3.2756	-1.1237
-3.2741	-1.1237
-3.2726	-1.1237
-3.2711	-1.1237
-3.2695	-1.1237
-3.2680	-1.1237
-3.2665	-1.1237
-3.2650	-1.1237
-3.2635	-1.1237
-3.2619	-1.1230
-3.2604	-1.1205
-2.7606	-1.1099
-2.0430	-1.0950
-1.3253	-1.0748
-0.96674	-1.0546
-0.87121	-1.0343
-0.77569	-1.0104
-0.68016	-0.98659
-0.58463	-0.96274
-0.48910	-0.93889
-0.39357	-0.91406
-0.29805	-0.88731
-0.20252	-0.86057
-0.10699	-0.83382
-0.011462	-0.80707
0.084066	-0.78032
0.17959	-0.75358
0.27512	-0.72683
0.37065	-0.70008
0.46618	-0.67333
0.56171	-0.64659
0.65723	-0.61984
0.75276	-0.59309
0.84829	-0.56622
1.0114	-0.53933
1.3276	-0.51244
1.6437	-0.48554
1.9598	-0.45865
2.2759	-0.43176
2.5920	-0.40487
2.9082	-0.37798
3.2243	-0.35109
3.4208	-0.32373
3.5025	-0.29592
3.5842	-0.26811
3.6658	-0.24070
3.7475	-0.21392
3.8292	-0.18713
3.9109	-0.16035
3.9926	-0.13356
4.0742	-0.10667
4.1559	-0.079734
4.2376	-0.052797
4.3193	-0.025859
4.4010	0.0010779
4.4826	0.028015
4.5643	0.053308
4.6460	0.076793
4.7277	0.083403
4.5745	0.085074
4.0004	0.080618
3.4262	0.076161
2.8521	0.072715
2.2779	0.072480
2.0686	0.072246
2.0308	0.072011
1.9930	0.071776
1.9552	0.071541
1.9174	0.071306
1.8796	0.071071
1.8418	0.070294
1.8040	0.068834
1.7661	0.056903
1.7283	0.039212
1.6905	0.012399
1.5600	-0.012306
1.4009	-0.036363
1.2419	-0.060421
1.0828	-0.084479
0.92379	-0.10854
0.76475	-0.13259
0.60571	-0.15780
0.44667	-0.18404
0.28763	-0.21027
0.12859	-0.23651
-0.030455	-0.26274
-0.18950	-0.28898
-0.34854	-0.31521
-0.50758	-0.34145
-0.66662	-0.36768
-0.82566	-0.39392
-0.98470	-0.42015
-1.1437	-0.44639
-1.3028	-0.47264
-1.4618	-0.49921
-1.6209	-0.52578
-1.7799	-0.55236
-1.9389	-0.57893
-2.0980	-0.60550
-2.2570	-0.63207
-2.4161	-0.65865
-2.5751	-0.68522
-2.7341	-0.71179
-2.8932	-0.73836
-3.0522	-0.76494
-3.2113	-0.79151
-3.3703	-0.81808
-3.5293	-0.84465
-3.6884	-0.87123
-3.8474	-0.89780
-4.0065	-0.92437
-4.1655	-0.95094
-4.3246	-0.97752
-4.4836	-1.0041
-4.6426	-1.0307
-4.8017	-1.0574
-4.9607	-1.0846
-5.1198	-1.1119
-5.2788	-1.1391
