Load (N)	Extension (mm)
	
	
	
	
1.3053	-0.057068
1.3083	-0.057068
1.3113	-0.057068
1.3143	-0.057068
1.3173	-0.057068
1.3203	-0.057068
1.3233	-0.057068
1.3263	-0.057068
1.3293	-0.057068
1.3323	-0.057068
1.3353	-0.057068
1.3383	-0.057068
1.3413	-0.057068
1.3443	-0.057068
1.3473	-0.057068
1.3503	-0.057068
1.3533	-0.057068
1.3563	-0.057068
1.3593	-0.057068
1.3623	-0.057068
1.3653	-0.057068
1.3683	-0.057068
1.3713	-0.057068
1.3743	-0.057068
1.3773	-0.057068
1.3803	-0.057068
1.3833	-0.057068
1.3863	-0.057068
1.3893	-0.057068
1.3923	-0.057068
1.3953	-0.057068
1.3983	-0.057068
1.4013	-0.054422
2.1973	-0.047128
4.2123	-0.032747
4.6992	-0.014826
4.8100	0.0024274
4.9208	0.013932
5.0317	0.021042
5.1320	0.025330
4.8649	0.025330
4.5979	0.025330
4.3309	0.025330
4.3002	0.025330
4.3130	0.025330
4.3257	0.025330
4.3385	0.025330
4.3512	0.025330
4.3640	0.025330
4.3767	0.025330
4.3895	0.025330
4.4022	0.025330
4.4149	0.024933
4.4277	0.023591
4.4404	0.014151
4.0388	-0.00015938
0.36009	-0.026045
-1.4031	-0.050047
-1.4031	-0.072314
-2.2222	-0.094582
-2.8436	-0.11685
-2.9545	-0.13912
-3.0653	-0.16372
-3.1761	-0.18912
-3.2870	-0.21452
-3.4697	-0.23992
-3.7084	-0.26533
-3.9470	-0.29073
-4.1856	-0.31613
-4.4242	-0.34153
-4.6629	-0.36693
-4.9015	-0.39253
-5.1401	-0.41896
-5.3787	-0.44539
-5.6174	-0.47182
-5.8560	-0.49825
-6.0628	-0.52468
-6.2262	-0.55111
-6.3895	-0.57754
-6.5529	-0.60397
-6.7162	-0.63040
-6.8796	-0.65683
-7.0429	-0.68326
-7.2063	-0.70969
-7.3696	-0.73612
-7.5330	-0.76255
-7.6963	-0.78898
-7.8596	-0.81541
-8.0230	-0.84183
-8.1863	-0.86826
-8.3497	-0.89469
-8.5130	-0.92112
-8.6764	-0.94755
-8.8397	-0.97398
-9.0031	-1.0004
-9.1664	-1.0268
-9.3298	-1.0533
-9.4931	-1.0797
-9.6564	-1.1061
-9.8198	-1.1326
-9.9831	-1.1590
-10.146	-1.1854
-10.310	-1.2118
-10.473	-1.2383
-10.637	-1.2649
-10.800	-1.2915
-10.963	-1.3181
-11.127	-1.3447
-11.290	-1.3712
-11.453	-1.3977
-11.617	-1.4242
-11.780	-1.4507
-11.943	-1.4772
-12.107	-1.5037
-12.270	-1.5302
-12.433	-1.5567
-12.597	-1.5832
-12.760	-1.6097
-12.923	-1.6362
-13.087	-1.6627
-13.250	-1.6892
-13.413	-1.7157
-13.577	-1.7422
-13.740	-1.7687
-13.903	-1.7949
-14.067	-1.8209
-14.230	-1.8469
-14.393	-1.8729
-14.557	-1.8989
-14.720	-1.9249
-14.883	-1.9509
-15.047	-1.9773
-15.210	-2.0036
-15.374	-2.0299
-15.537	-2.0562
-15.700	-2.0825
-15.864	-2.1089
-16.027	-2.1352
-16.190	-2.1615
-16.354	-2.1878
-16.517	-2.2141
-16.680	-2.2405
