Load (N)	Extension (mm)
-45.858	-6.1211
-46.038	-6.1473
-46.218	-6.1735
-46.398	-6.1996
-46.579	-6.2258
-46.759	-6.2520
-46.939	-6.2782
-47.119	-6.3044
-47.299	-6.3306
-47.479	-6.3568
-47.632	-6.3830
-47.781	-6.4092
-47.929	-6.4354
-48.078	-6.4616
-48.226	-6.4878
-48.375	-6.5139
-48.523	-6.5401
-48.672	-6.5663
-48.820	-6.5925
-48.969	-6.6187
-49.117	-6.6449
-49.266	-6.6711
-49.414	-6.6973
-49.563	-6.7235
-49.711	-6.7497
-49.860	-6.7759
-50.008	-6.8020
-50.157	-6.8282
-50.305	-6.8544
-50.454	-6.8806
-50.602	-6.9068
-50.751	-6.9330
-50.899	-6.9592
-51.048	-6.9854
-51.196	-7.0116
-51.345	-7.0378
-51.493	-7.0640
-51.642	-7.0901
-51.790	-7.1163
-51.939	-7.1425
-52.087	-7.1687
-52.236	-7.1949
-52.384	-7.2211
-52.533	-7.2473
-52.681	-7.2735
-52.830	-7.2997
-52.978	-7.3259
-53.127	-7.3521
-53.275	-7.3782
-53.424	-7.4044
-53.572	-7.4306
-53.749	-7.4568
-53.953	-7.4830
-54.157	-7.5092
-54.361	-7.5354
-54.565	-7.5616
-54.769	-7.5878
-54.973	-7.6140
-55.177	-7.6402
-55.381	-7.6663
-55.585	-7.6925
-55.790	-7.7187
-55.994	-7.7450
-56.198	-7.7712
-56.402	-7.7974
-56.606	-7.8236
-56.810	-7.8498
-57.014	-7.8760
-57.218	-7.9022
-57.422	-7.9284
-57.626	-7.9546
-57.831	-7.9809
-57.988	-8.0071
-58.136	-8.0333
-58.284	-8.0595
-58.431	-8.0857
-58.579	-8.1119
-58.727	-8.1381
-58.874	-8.1643
-59.022	-8.1906
-59.169	-8.2168
-59.317	-8.2430
-59.465	-8.2692
-59.612	-8.2954
-59.760	-8.3216
-59.908	-8.3478
-60.055	-8.3740
-60.203	-8.4002
-60.351	-8.4265
-60.498	-8.4527
-60.646	-8.4789
-60.794	-8.5051
-60.941	-8.5313
-61.089	-8.5575
-61.237	-8.5837
-61.384	-8.6099
-61.532	-8.6362
-61.680	-8.6624
-61.827	-8.6886
-61.975	-8.7148
-62.122	-8.7410
-62.270	-8.7672
-62.418	-8.7934
-62.565	-8.8196
-62.713	-8.8458
-62.861	-8.8721
-63.008	-8.8983
-63.156	-8.9245
-63.304	-8.9507
-63.451	-8.9769
-63.595	-9.0031
-63.736	-9.0293
-63.878	-9.0555
-64.019	-9.0817
-64.161	-9.1080
-64.302	-9.1341
-64.443	-9.1603
-64.585	-9.1864
-64.726	-9.2126
-64.868	-9.2387
-65.009	-9.2649
-65.150	-9.2911
-65.292	-9.3172
-65.433	-9.3434
-65.575	-9.3695
-65.716	-9.3957
-65.858	-9.4218
-65.999	-9.4480
-66.140	-9.4742
-66.282	-9.5003
-66.423	-9.5265
-66.565	-9.5526
-66.706	-9.5788
-66.847	-9.6049
-66.989	-9.6311
-67.130	-9.6573
-67.272	-9.6834
-67.413	-9.7096
-67.555	-9.7357
-67.696	-9.7619
-67.837	-9.7880
-67.979	-9.8142
-68.120	-9.8403
-68.262	-9.8665
-68.403	-9.8927
-68.544	-9.9188
-68.686	-9.9450
-68.827	-9.9711
-68.969	-9.9960
-69.110	-10.020
-69.252	-10.024
-68.458	-10.023
-65.561	-10.014
-63.613	-10.011
-62.232	-10.010
-62.187	-10.008
-62.142	-10.007
-62.097	-10.006
-62.052	-10.005
-62.007	-10.005
-61.962	-10.005
-61.917	-10.005
-61.872	-10.004
-61.827	-10.004
-61.782	-9.9961
-61.737	-9.9827
-59.859	-9.9596
-57.973	-9.9364
-56.087	-9.9133
-54.200	-9.8901
-51.970	-9.8670
-48.551	-9.8438
-45.131	-9.8207
-41.855	-9.7975
-41.703	-9.7744
-41.550	-9.7499
-41.398	-9.7237
-41.246	-9.6975
-41.094	-9.6713
-40.942	-9.6451
-40.789	-9.6189
-40.637	-9.5927
-40.485	-9.5666
-40.333	-9.5404
-40.180	-9.5142
-40.028	-9.4880
-39.876	-9.4618
-39.724	-9.4356
-39.572	-9.4095
-39.419	-9.3833
-39.267	-9.3571
-39.115	-9.3309
-38.963	-9.3047
-38.810	-9.2785
-38.658	-9.2524
-38.506	-9.2262
-38.354	-9.2000
-38.202	-9.1738
-38.049	-9.1476
-37.897	-9.1214
-37.745	-9.0953
-37.593	-9.0691
-37.440	-9.0429
