Load (N)	Extension (mm)
	
	
	
	
18.445	
18.450	1.8918
18.455	1.8918
18.459	1.8917
18.464	1.8917
18.469	1.8917
18.473	1.8917
18.478	1.8916
18.483	1.8916
18.488	1.8916
18.492	1.8916
18.497	1.8916
18.502	1.8915
18.506	1.8915
18.511	1.8915
18.516	1.8915
18.520	1.8915
18.525	1.8914
18.530	1.8914
18.534	1.8914
18.539	1.8914
18.544	1.8914
18.549	1.8913
18.553	1.8913
18.558	1.8913
18.563	1.8913
18.567	1.8912
18.572	1.8912
18.577	1.8912
18.581	1.8912
18.586	1.8912
18.591	1.8911
18.595	1.8911
18.600	1.8911
18.605	1.8911
18.610	1.8911
18.614	1.8910
18.619	1.8910
17.713	1.8781
16.737	1.8590
16.737	1.8337
16.202	1.8098
15.501	1.7867
15.280	1.7635
15.060	1.7385
14.839	1.7124
14.618	1.6864
14.398	1.6603
14.177	1.6342
13.956	1.6082
13.736	1.5814
13.515	1.5540
13.336	1.5267
13.158	1.4993
12.980	1.4719
12.802	1.4445
12.624	1.4171
12.446	1.3897
12.268	1.3623
12.089	1.3349
11.911	1.3075
11.733	1.2799
11.555	1.2522
11.377	1.2245
11.199	1.1968
11.021	1.1691
10.843	1.1414
10.698	1.1139
10.568	1.0865
10.438	1.0591
10.308	1.0317
10.178	1.0042
10.047	0.97683
9.9173	0.94941
9.7871	0.92199
9.6569	0.89457
9.5267	0.86715
9.3965	0.83973
9.2664	0.81231
9.1362	0.78490
9.0060	0.75748
8.8758	0.73006
8.7456	0.70264
8.6155	0.67522
8.4853	0.64774
8.3551	0.62024
8.2249	0.59275
8.0821	0.56526
7.9366	0.53777
7.7912	0.51028
7.6457	0.48278
7.5003	0.45529
7.3548	0.42780
7.2094	0.40031
7.0639	0.37282
6.9185	0.34532
6.7731	0.31783
6.6276	0.29034
6.4822	0.26285
6.3367	0.23536
6.1913	0.20786
6.0458	0.18037
5.9004	0.15288
5.7549	0.12539
5.6095	0.097897
5.4641	0.070405
5.3186	0.042913
5.1732	0.015421
5.0277	-0.0082449
4.8823	-0.026943
4.7368	-0.035205
5.0345	-0.038265
6.0601	-0.034543
6.2043	-0.030822
6.1933	-0.028363
6.1822	-0.028563
6.1711	-0.028764
6.1600	-0.028964
6.1489	-0.029164
6.1378	-0.029364
6.1268	-0.029565
6.1157	-0.029765
6.1046	-0.031902
6.0440	-0.037280
5.7076	-0.055651
5.3713	-0.078123
5.0349	-0.10307
4.6985	-0.12801
4.3621	-0.15296
4.0336	-0.17790
3.8985	-0.20285
3.7634	-0.22885
3.6284	-0.25586
3.4933	-0.28287
3.3582	-0.30988
3.2232	-0.33689
3.0881	-0.36390
2.9530	-0.39091
2.8180	-0.41792
2.6829	-0.44493
2.5478	-0.47194
2.4127	-0.49895
2.2777	-0.52619
2.1426	-0.55348
2.0075	-0.58077
1.8725	-0.60806
1.7374	-0.63535
1.6023	-0.66264
1.4673	-0.68993
1.3322	-0.71723
1.1971	-0.74452
1.0621	-0.77181
0.92699	-0.79910
0.79192	-0.82639
0.65685	-0.85368
0.52178	-0.88097
0.38671	-0.90826
0.25164	-0.93555
0.11657	-0.96284
-0.018494	-0.99013
-0.15356	-1.0174
