Load (N)	Extension (mm)
	
	
	
	
18.742	
18.742	0.28046
18.742	0.28046
18.742	0.28046
18.742	0.28046
18.743	0.28046
18.743	0.28046
18.743	0.28046
18.743	0.28046
18.743	0.28046
18.744	0.28046
18.744	0.28046
18.744	0.28046
18.744	0.28046
18.744	0.28046
18.745	0.28046
18.745	0.28046
18.745	0.28046
18.745	0.28046
18.745	0.28046
18.745	0.28046
18.746	0.28046
18.746	0.28046
18.746	0.28046
18.746	0.28046
18.746	0.28046
18.747	0.28046
18.747	0.28046
18.747	0.28046
18.747	0.28046
18.747	0.28046
18.748	0.28046
18.748	0.28046
18.748	0.28046
18.748	0.28046
17.055	0.26889
15.935	0.25278
15.935	0.22987
12.567	0.20697
9.1202	0.18448
9.1202	0.16369
8.3063	0.14057
7.0155	0.11598
7.0155	0.091399
6.6239	0.066814
5.7388	0.042229
5.5170	0.017644
5.4058	-0.0045561
5.2945	-0.020375
5.1832	-0.029560
5.1492	-0.035090
5.7991	-0.035035
6.1409	-0.034980
6.1939	-0.034925
6.2469	-0.034870
6.2999	-0.034815
6.3528	-0.034760
6.4058	-0.034705
6.4588	-0.034650
6.5118	-0.034595
6.5648	-0.034540
6.6178	-0.034491
6.6708	-0.035839
6.0685	-0.044051
4.5596	-0.061762
4.1033	-0.085897
3.8561	-0.11033
3.6089	-0.13179
3.3617	-0.15326
3.1145	-0.17502
2.8673	-0.20025
2.6201	-0.22548
2.3729	-0.25072
2.1257	-0.27595
1.8785	-0.30155
1.6312	-0.32790
1.3840	-0.35425
1.1368	-0.38061
0.88962	-0.40696
0.64242	-0.43332
0.39521	-0.45967
0.14800	-0.48603
-0.099203	-0.51238
-0.34641	-0.53873
-0.59362	-0.56509
-0.84082	-0.59144
-1.0880	-0.61780
-1.3352	-0.64415
-1.5824	-0.67050
-1.8297	-0.69686
-2.0769	-0.72321
-2.3241	-0.74957
-2.5713	-0.77592
-2.8185	-0.80228
-3.0657	-0.82863
-3.3129	-0.85512
-3.5468	-0.88167
-3.6907	-0.90821
-3.8347	-0.93476
-3.9787	-0.96130
-4.1227	-0.98785
-4.2667	-1.0144
-4.4107	-1.0409
-4.5547	-1.0675
-4.6986	-1.0940
-4.8426	-1.1206
-4.9866	-1.1471
-5.1306	-1.1737
-5.2746	-1.2002
-5.4186	-1.2268
-5.5626	-1.2533
-5.7065	-1.2799
-5.8505	-1.3064
-5.9945	-1.3329
-6.1385	-1.3595
-6.2825	-1.3860
-6.4265	-1.4126
-6.5705	-1.4390
-6.7144	-1.4653
-6.8584	-1.4916
-7.0024	-1.5180
-7.1464	-1.5443
-7.2904	-1.5706
-7.4344	-1.5969
-7.5783	-1.6232
-7.7223	-1.6495
-7.8663	-1.6759
-8.0103	-1.7022
-8.1543	-1.7285
-8.2983	-1.7548
-8.4423	-1.7811
-8.5862	-1.8075
-8.7302	-1.8338
-8.8742	-1.8601
-9.0182	-1.8864
-9.1622	-1.9127
-9.3062	-1.9390
-9.4502	-1.9654
-9.5941	-1.9917
-9.7381	-2.0180
-9.8821	-2.0443
-10.026	-2.0706
-10.170	-2.0969
-10.314	-2.1233
-10.458	-2.1496
-10.602	-2.1759
-10.746	-2.2022
