Load (N)	Extension (mm)
	
	
39.894	3.5931
39.900	3.5931
39.905	3.5931
39.911	3.5931
39.917	3.5931
39.923	3.5931
39.929	3.5931
39.935	3.5931
39.940	3.5931
39.946	3.5931
39.952	3.5931
39.958	3.5850
32.973	3.5241
30.067	3.4573
28.788	3.3862
27.725	3.3106
26.679	3.2341
25.686	3.1556
24.805	3.0772
23.748	2.9988
22.996	2.9203
22.345	2.8419
21.783	2.7635
21.267	2.6850
20.755	2.6066
20.243	2.5282
19.731	2.4497
19.219	2.3713
18.707	2.2929
18.249	2.2144
17.842	2.1360
17.435	2.0577
17.028	1.9795
16.336	1.9012
15.520	1.8229
15.067	1.7451
14.613	1.6675
14.160	1.5899
13.707	1.5121
13.254	1.4340
12.800	1.3560
12.347	1.2779
11.894	1.1998
11.441	1.1218
10.987	1.0437
10.534	0.96561
10.081	0.88747
9.6276	0.80933
9.1744	0.73120
8.7211	0.65306
8.2678	0.57492
7.8146	0.49678
7.3613	0.41864
6.9081	0.34050
6.4548	0.26237
6.0016	0.18443
5.5483	0.10697
5.0950	0.029505
4.6418	-0.047178
4.6359	-0.093787
8.3486	-0.091053
9.4369	-0.087883
7.7319	-0.095954
5.2822	-0.11150
3.7599	-0.15383
2.9634	-0.22352
2.5247	-0.29321
2.0860	-0.36724
1.6473	-0.44514
1.2087	-0.52303
0.76998	-0.60092
0.33129	-0.67881
-0.10739	-0.75670
-0.54607	-0.83459
-0.98475	-0.91248
-1.4234	-0.99037
-1.8621	-1.0683
-2.3008	-1.1461
-2.7395	-1.2240
-3.1782	-1.3019
-3.6168	-1.3798
-4.0555	-1.4577
-4.4942	-1.5356
-4.9329	-1.6135
-5.3716	-1.6914
-5.8103	-1.7693
-6.2489	-1.8472
-6.6876	-1.9251
-7.1263	-2.0029
-7.5650	-2.0808
-8.0037	-2.1587
-8.4423	-2.2366
-8.8810	-2.3145
-9.3197	-2.3924
-9.7584	-2.4703
-10.197	-2.5482
-10.636	-2.6261
-11.074	-2.7040
-11.513	-2.7819
-11.952	-2.8597
-12.390	-2.9376
-12.829	-3.0155
-13.268	-3.0934
-13.707	-3.1713
-14.145	-3.2492
-14.584	-3.3271
-15.023	-3.4050
-15.461	-3.4829
-15.900	-3.5608
-16.339	-3.6386
-16.777	-3.7165
-17.216	-3.7944
-17.655	-3.8723
-18.093	-3.9502
-18.532	-4.0281
-18.971	-4.1060
-19.409	-4.1839
-19.848	-4.2618
-20.287	-4.3397
-20.725	-4.4176
-21.164	-4.4954
-21.603	-4.5733
-22.041	-4.6512
-22.480	-4.7291
-22.919	-4.8070
-23.358	-4.8849
-23.796	-4.9628
-24.235	-5.0407
-24.674	-5.1186
-25.112	-5.1965
-25.551	-5.2743
-25.990	-5.3522
-26.428	-5.4301
-26.867	-5.5080
-27.306	-5.5859
-27.744	-5.6638
-28.183	-5.7417
-28.622	-5.8195
-29.060	-5.8974
-29.499	-5.9752
-29.938	-6.0530
-30.376	-6.1308
-30.815	-6.2086
-31.254	-6.2864
-31.692	-6.3642
-32.131	-6.4420
-32.570	-6.5198
-33.009	-6.5976
-33.447	-6.6755
-33.886	-6.7533
-34.325	-6.8311
-34.763	-6.9089
