Load (N)	Extension (mm)
-23.150	-4.6760
-23.287	-4.7030
-23.424	-4.7299
-23.562	-4.7568
-23.699	-4.7837
-23.836	-4.8107
-23.974	-4.8376
-24.111	-4.8645
-24.248	-4.8914
-24.385	-4.9184
-24.523	-4.9453
-24.660	-4.9722
-24.797	-4.9991
-24.935	-5.0261
-25.072	-5.0530
-25.209	-5.0799
-25.347	-5.1068
-25.484	-5.1338
-25.621	-5.1607
-25.763	-5.1876
-25.906	-5.2146
-26.050	-5.2415
-26.193	-5.2684
-26.336	-5.2953
-26.479	-5.3223
-26.622	-5.3492
-26.765	-5.3761
-26.908	-5.4030
-27.051	-5.4300
-27.194	-5.4569
-27.337	-5.4838
-27.481	-5.5107
-27.624	-5.5377
-27.767	-5.5646
-27.910	-5.5915
-28.053	-5.6183
-28.196	-5.6452
-28.339	-5.6720
-28.482	-5.6989
-28.625	-5.7257
-28.768	-5.7526
-28.912	-5.7794
-29.055	-5.8063
-29.198	-5.8331
-29.341	-5.8600
-29.484	-5.8868
-29.627	-5.9137
-29.770	-5.9405
-29.913	-5.9674
-30.056	-5.9942
-30.199	-6.0211
-30.343	-6.0479
-30.486	-6.0748
-30.629	-6.1016
-30.772	-6.1285
-30.915	-6.1553
-31.058	-6.1822
-31.201	-6.2090
-31.344	-6.2359
-31.487	-6.2627
-31.630	-6.2896
-31.774	-6.3164
-31.917	-6.3433
-32.060	-6.3701
-32.203	-6.3969
-32.346	-6.4238
-32.489	-6.4506
-32.632	-6.4775
-32.775	-6.5043
-32.918	-6.5312
-33.061	-6.5580
-33.204	-6.5849
-33.348	-6.6117
-33.491	-6.6386
-33.634	-6.6654
-33.777	-6.6923
-33.920	-6.7191
-34.063	-6.7460
-34.206	-6.7728
-34.349	-6.7997
-34.492	-6.8265
-34.635	-6.8534
-34.779	-6.8802
-34.922	-6.9071
-35.065	-6.9339
-35.208	-6.9608
-35.351	-6.9876
-35.494	-7.0145
-35.637	-7.0413
-35.780	-7.0682
-35.923	-7.0950
-36.066	-7.1219
-36.210	-7.1487
-36.353	-7.1755
-36.496	-7.2024
-36.639	-7.2292
-36.782	-7.2561
-36.925	-7.2829
-37.068	-7.3098
-37.211	-7.3366
-37.354	-7.3635
-37.497	-7.3904
-37.641	-7.4173
-37.784	-7.4442
-37.927	-7.4711
-38.062	-7.4980
-38.031	-7.5249
-38.000	-7.5518
-37.969	-7.5787
-37.938	-7.6056
-37.908	-7.6325
-37.877	-7.6594
-38.113	-7.6863
-38.396	-7.7132
-38.680	-7.7401
-38.963	-7.7670
-39.247	-7.7940
-39.530	-7.8209
-39.814	-7.8478
-40.082	-7.8747
-40.220	-7.9016
-40.358	-7.9285
-40.495	-7.9554
-40.633	-7.9823
-40.770	-8.0092
-40.908	-8.0361
-41.046	-8.0630
-41.183	-8.0899
-41.321	-8.1168
-41.458	-8.1437
-41.596	-8.1706
-41.734	-8.1975
-41.871	-8.2244
-42.009	-8.2513
-42.146	-8.2783
-42.284	-8.3052
-42.422	-8.3321
-42.559	-8.3590
-42.697	-8.3859
-42.834	-8.4128
-42.972	-8.4397
-43.110	-8.4666
-43.247	-8.4935
-43.385	-8.5204
-43.522	-8.5473
-43.660	-8.5742
-43.798	-8.6011
-43.935	-8.6280
-44.073	-8.6549
-44.210	-8.6818
-44.348	-8.7087
-44.486	-8.7356
-44.623	-8.7626
-44.761	-8.7895
-44.898	-8.8164
-45.036	-8.8433
-45.174	-8.8702
-45.311	-8.8971
-45.449	-8.9240
-45.586	-8.9509
-45.724	-8.9778
-45.862	-9.0047
-45.999	-9.0316
-46.137	-9.0585
-46.274	-9.0854
-46.412	-9.1122
-46.550	-9.1391
-46.687	-9.1660
-46.825	-9.1928
-46.962	-9.2197
-47.100	-9.2466
-47.238	-9.2734
-47.375	-9.3003
-47.513	-9.3272
-47.650	-9.3540
-47.788	-9.3809
-47.925	-9.4078
-48.063	-9.4346
-48.201	-9.4615
-48.338	-9.4884
-48.476	-9.5152
-48.613	-9.5421
-48.751	-9.5690
-48.889	-9.5958
-49.026	-9.6227
-49.164	-9.6496
-49.301	-9.6764
-49.439	-9.7033
-49.577	-9.7302
-49.714	-9.7571
-49.852	-9.7839
-49.989	-9.8108
-50.127	-9.8377
-50.265	-9.8645
-50.402	-9.8914
-50.540	-9.9183
-50.677	-9.9451
-50.815	-9.9687
-50.953	-9.9902
-51.090	-10.012
-51.228	-10.026
-51.365	-10.033
-49.952	-10.018
-49.073	-10.007
-48.989	-10.002
-48.904	-10.002
-48.820	-10.002
-48.736	-10.002
-48.651	-10.003
-48.567	-10.003
-48.482	-10.003
-48.398	-10.003
-48.314	-10.002
-48.229	-9.9890
-48.056	-9.9692
-47.817	-9.9443
-47.579	-9.9193
-47.340	-9.8944
-47.102	-9.8694
-46.863	-9.8445
-46.624	-9.8195
-46.386	-9.7946
-46.147	-9.7697
-45.908	-9.7447
-45.670	-9.7198
-45.431	-9.6948
-45.192	-9.6699
-44.954	-9.6449
-44.715	-9.6188
-44.476	-9.5919
-44.238	-9.5650
-43.999	-9.5381
-43.760	-9.5112
-43.522	-9.4844
-43.327	-9.4575
-43.192	-9.4306
-43.056	-9.4037
-42.920	-9.3768
-42.785	-9.3499
-42.649	-9.3231
-42.513	-9.2962
-42.378	-9.2693
-42.242	-9.2424
-42.106	-9.2155
-41.971	-9.1886
-41.835	-9.1617
-41.699	-9.1349
-41.564	-9.1080
-41.428	-9.0811
-41.292	-9.0542
-41.157	-9.0273
-41.021	-9.0004
-40.885	-8.9735
-40.750	-8.9467
-40.614	-8.9198
-40.478	-8.8929
-40.343	-8.8660
-40.207	-8.8391
-40.071	-8.8122
-39.936	-8.7854
-39.800	-8.7585
-39.664	-8.7316
-39.529	-8.7047
-39.393	-8.6778
-39.257	-8.6509
-39.122	-8.6240
-38.986	-8.5972
-38.850	-8.5703
-38.715	-8.5434
-38.579	-8.5165
-38.443	-8.4896
-38.308	-8.4627
-38.172	-8.4359
-38.036	-8.4090
-37.901	-8.3821
-37.765	-8.3552
-37.630	-8.3283
-37.494	-8.3014
-37.358	-8.2745
-37.223	-8.2477
-37.087	-8.2208
-36.951	-8.1939
-36.816	-8.1670
-36.680	-8.1401
-36.544	-8.1132
-36.409	-8.0863
-36.273	-8.0595
-36.137	-8.0326
-36.002	-8.0057
-35.866	-7.9788
-35.730	-7.9519
-35.595	-7.9250
-35.459	-7.8982
-35.323	-7.8713
-35.188	-7.8444
-35.052	-7.8175
-34.916	-7.7906
-34.781	-7.7637
-34.645	-7.7368
-34.509	-7.7100
-34.374	-7.6831
-34.238	-7.6562
-34.102	-7.6293
-33.967	-7.6024
-33.831	-7.5755
-33.695	-7.5487
-33.560	-7.5218
-33.424	-7.4949
-33.288	-7.4680
-33.153	-7.4411
-33.017	-7.4142
-32.881	-7.3873
-32.746	-7.3605
-32.610	-7.3336
-32.474	-7.3067
-32.339	-7.2798
-32.203	-7.2529
-32.067	-7.2260
-31.932	-7.1991
-31.796	-7.1723
-31.660	-7.1454
-31.525	-7.1185
-31.389	-7.0916
-31.253	-7.0647
-31.118	-7.0378
-30.982	-7.0110
-30.846	-6.9841
-30.711	-6.9572
-30.575	-6.9303
-30.439	-6.9034
-30.304	-6.8765
-30.168	-6.8496
-30.032	-6.8228
-29.897	-6.7959
-29.761	-6.7690
-29.625	-6.7421
-29.490	-6.7152
-29.354	-6.6883
-29.218	-6.6615
-29.083	-6.6346
-28.947	-6.6077
-28.811	-6.5808
-28.676	-6.5539
-28.540	-6.5270
-28.404	-6.5001
-28.269	-6.4733
-28.133	-6.4464
-27.997	-6.4195
-27.862	-6.3926
-27.726	-6.3657
-27.590	-6.3388
-27.455	-6.3119
-27.319	-6.2851
-27.183	-6.2582
-27.048	-6.2313
-26.912	-6.2044
-26.776	-6.1775
-26.641	-6.1506
-26.505	-6.1238
-26.369	-6.0969
-26.234	-6.0700
-26.098	-6.0431
-25.962	-6.0162
-25.827	-5.9893
-25.691	-5.9624
-25.555	-5.9356
-25.420	-5.9087
-25.284	-5.8818
-25.148	-5.8549
-25.013	-5.8280
-24.877	-5.8011
-24.741	-5.7743
-24.606	-5.7474
-24.470	-5.7205
-24.334	-5.6936
-24.199	-5.6667
-24.063	-5.6398
-23.927	-5.6129
-23.792	-5.5861
-23.656	-5.5592
-23.520	-5.5323
-23.385	-5.5054
