Load (N)	Extension (mm)
	
	
-2.6020	-1.4432
-2.5978	-1.4431
-2.5937	-1.4431
-2.5895	-1.4431
-2.5853	-1.4431
-2.5812	-1.4431
-2.5770	-1.4431
-2.5728	-1.4431
-2.5687	-1.4430
-2.5645	-1.4430
-2.5603	-1.4416
-2.0385	-1.3990
-1.2842	-1.3405
-0.92210	-1.2706
-0.55998	-1.1984
-0.19786	-1.1209
0.16427	-1.0430
0.52639	-0.96768
0.88851	-0.89026
1.2506	-0.81280
1.6128	-0.73534
1.9749	-0.65788
2.3370	-0.58041
2.6991	-0.50295
3.0612	-0.42589
3.4234	-0.34883
3.7855	-0.27176
4.1476	-0.19470
4.5097	-0.11758
4.8718	-0.040097
5.2340	0.033240
3.7309	0.0036623
4.4978	0.015417
5.0176	0.033102
5.2045	0.038639
5.3914	0.046700
4.0597	-0.013620
2.2709	-0.087343
1.8671	-0.15639
1.4633	-0.23049
1.0595	-0.30458
0.65570	-0.37884
0.25189	-0.45516
-0.15191	-0.53147
-0.55572	-0.60899
-0.95953	-0.68650
-1.3633	-0.75899
-1.7671	-0.83527
-2.1709	-0.91155
-2.5748	-0.98784
-2.9786	-1.0641
-3.3824	-1.1404
-3.7862	-1.2167
-4.1900	-1.2930
-4.5938	-1.3693
-4.9976	-1.4478
-5.4014	-1.5262
-5.8052	-1.6047
-6.2090	-1.6818
-6.6128	-1.7586
-7.0166	-1.8353
-7.4204	-1.9120
-7.8242	-1.9888
-8.2280	-2.0655
-8.6318	-2.1422
-9.0356	-2.2190
-9.4395	-2.2957
-9.8433	-2.3725
-10.247	-2.4492
-10.651	-2.5259
-11.055	-2.6027
-11.458	-2.6794
-11.862	-2.7562
-12.266	-2.8329
-12.670	-2.9096
-13.074	-2.9864
-13.478	-3.0631
-13.881	-3.1398
-14.285	-3.2166
-14.689	-3.2933
-15.093	-3.3701
-15.497	-3.4468
-15.900	-3.5235
-16.304	-3.6003
-16.708	-3.6770
-17.112	-3.7538
-17.516	-3.8305
-17.919	-3.9072
-18.323	-3.9840
-18.727	-4.0607
-19.131	-4.1375
-19.535	-4.2142
-19.938	-4.2909
-20.337	-4.3677
-20.730	-4.4444
-21.123	-4.5211
-21.517	-4.5979
-21.910	-4.6746
-22.303	-4.7514
-22.696	-4.8281
-23.089	-4.9048
-23.482	-4.9816
-23.875	-5.0583
-24.268	-5.1351
-24.661	-5.2118
-25.054	-5.2885
-25.447	-5.3653
-25.840	-5.4420
-26.234	-5.5188
-26.627	-5.5955
-27.020	-5.6722
-27.413	-5.7490
-27.806	-5.8257
-28.199	-5.9024
-28.592	-5.9792
-28.985	-6.0559
-29.378	-6.1327
-29.771	-6.2094
-30.164	-6.2856
-30.557	-6.3611
-30.950	-6.4375
-31.344	-6.5141
-31.737	-6.5908
-32.130	-6.6674
-32.523	-6.7440
-32.916	-6.8207
-33.309	-6.8973
-33.702	-6.9739
-34.095	-7.0506
-34.488	-7.1272
-34.881	-7.2039
-35.274	-7.2805
-35.667	-7.3571
-36.083	-7.4338
-36.504	-7.5104
-36.926	-7.5870
-37.347	-7.6637
-37.769	-7.7403
-38.190	-7.8169
-38.608	-7.8936
-39.024	-7.9702
