Load (N)	Extension (mm)
	
	
	
	
5.1131	
5.1154	0.055847
5.1176	0.055847
5.1198	0.055847
5.1220	0.055847
5.1242	0.055847
5.1265	0.055847
5.1287	0.055847
5.1309	0.055847
5.1331	0.055847
5.1353	0.055847
5.1375	0.055847
5.1398	0.055847
5.1420	0.055847
5.1442	0.055847
5.1464	0.055847
5.1486	0.055847
5.1509	0.055847
5.1531	0.055847
5.1553	0.055847
5.1575	0.055847
5.1597	0.055847
5.1620	0.055847
5.1642	0.055847
5.1664	0.055847
5.1686	0.055847
5.1708	0.055847
5.1731	0.055847
5.1753	0.055847
5.1775	0.055847
5.1797	0.055847
5.1819	0.055847
5.1841	0.048287
4.7452	0.032956
3.6281	0.0058456
3.0033	-0.021265
2.4995	-0.039266
1.9957	-0.023203
3.0132	-0.0018869
4.9109	0.021748
4.9109	0.013695
4.5537	0.0088206
3.7351	0.0080536
4.6187	0.024294
5.5919	0.040165
5.9068	0.045726
5.3884	0.044309
4.4991	0.039668
4.3432	0.039604
4.1872	0.039541
4.0313	0.039477
3.8754	0.039413
3.7195	0.036706
3.5636	0.027694
3.4077	0.0095046
3.2363	-0.013063
2.9423	-0.039716
2.6483	-0.063872
2.3544	-0.085731
2.0604	-0.10759
1.7664	-0.13054
1.4725	-0.15562
1.1785	-0.18069
0.88452	-0.20577
0.59056	-0.23085
0.29659	-0.25621
0.0026214	-0.28179
-0.29135	-0.30736
-0.58531	-0.33294
-0.87928	-0.35852
-1.1732	-0.38467
-1.4364	-0.41098
-1.5739	-0.43729
-1.7114	-0.46360
-1.8488	-0.48991
-1.9863	-0.51622
-2.1238	-0.54253
-2.2612	-0.56884
-2.3987	-0.59515
-2.5362	-0.62145
-2.6736	-0.64776
-2.8111	-0.67407
-2.9486	-0.70038
-3.0860	-0.72669
-3.2235	-0.75303
-3.3609	-0.77940
-3.4984	-0.80577
-3.6359	-0.83214
-3.7733	-0.85851
-3.9108	-0.88488
-4.0483	-0.91125
-4.1857	-0.93762
-4.3232	-0.96399
-4.4607	-0.99037
-4.5981	-1.0167
-4.7356	-1.0431
-4.8731	-1.0695
-5.0105	-1.0958
-5.1480	-1.1222
-5.2855	-1.1483
-5.4229	-1.1744
-5.5604	-1.2005
-5.6979	-1.2266
-5.8353	-1.2530
-5.9728	-1.2797
-6.1102	-1.3065
-6.2477	-1.3333
-6.3852	-1.3600
-6.5226	-1.3865
-6.6601	-1.4128
-6.7976	-1.4391
-6.9350	-1.4655
-7.0725	-1.4918
-7.2100	-1.5181
-7.3474	-1.5444
-7.4849	-1.5707
-7.6224	-1.5971
-7.7598	-1.6234
-7.8973	-1.6499
-8.0348	-1.6764
-8.1722	-1.7029
-8.3097	-1.7294
-8.4471	-1.7559
-8.5846	-1.7824
-8.7221	-1.8090
-8.8595	-1.8354
-8.9970	-1.8614
-9.1345	-1.8873
-9.2719	-1.9133
-9.4094	-1.9393
-9.5469	-1.9653
-9.6843	-1.9915
-9.8218	-2.0178
-9.9593	-2.0440
-10.097	-2.0703
-10.234	-2.0965
-10.372	-2.1227
-10.509	-2.1490
-10.647	-2.1752
-10.784	-2.2015
-10.922	-2.2277
-11.059	-2.2539
